Financial Instrument,Coupon,Maturity,Ratings,Issuer Debt/Equity,Issue Date,Time-To-Maturity (TTM),Payment Frequency,Ask,Ask Yield,Duration %  ,Convexity,Bid,
MS CORP CD 61768ELK7,3.25,Aug26'24,,,Aug 25 '22,0.09,Semi-Annual,99.792,5.497,0.5823991894721985,0.0034313052892684937,99.643,
BBCNBK CORP CD 062683HY6,5.2,Aug26'24,,,May 26 '23,0.09,Semi-Annual,100.289,1.9811,0.09315068274736404,0.00008677,99.834,
MTB CORP CD 564759SB5,4.85,Aug28'24,,,Feb 28 '23,0.10,Semi-Annual,100.128,3.5113000000000003,0.0986301377415657,0.00009728,99.797,
SYF CORP CD 87164WDA3,3.3,Aug29'24,,,Aug 29 '14,0.10,Semi-Annual,99.859,4.7198,0.10136986523866653,0.00010276,99.705,
AXP CORP CD 02589ADU3,3.3,Sep03'24,,,Aug 31 '22,0.11,Semi-Annual,99.762,5.361000000000001,0.5987158417701721,0.003624612232670188,99.619,
MS CORP CD 61768EPS6,4.9,Sep03'24,,,Mar 02 '23,0.11,Semi-Annual,100.105,3.7393,0.6003713607788086,0.003662815084680915,99.786,
MS CORP CD 61690U2D1,4.9,Sep03'24,,,Mar 02 '23,0.11,Semi-Annual,99.941,5.325,0.600363552570343,0.0036627582740038633,99.786,
NOBANK CORP CD 66476QDR6,5.0,Sep03'24,,,Mar 03 '23,0.11,Semi-Annual,99.952,5.327,0.11506849527359009,0.00013241,99.802,
KEY CORP CD 49306SM60,5.35,Sep03'24,,,May 31 '24,0.11,Principal at Maturity,100.029,5.050400000000001,0.11506849527359009,0.00013241,99.849,
BMW CORP CD 05580AK29,1.7,Sep04'24,,,Mar 04 '22,0.12,Semi-Annual,99.581,5.338,0.11780822277069092,0.00013879,99.433,
DFS CORP CD 2546732J4,4.9,Sep05'24,,,Mar 08 '23,0.12,Semi-Annual,99.929,5.5743,0.12054794281721115,0.00014532,99.789,
MS CORP CD 61768ELR2,3.4,Sep09'24,,,Sep 08 '22,0.13,Semi-Annual,99.746,5.324,0.620391309261322,0.0038900314830243587,99.592,
WFC CORP CD 9497636Z4,4.85,Sep09'24,,,Mar 08 '23,0.13,Monthly,100.265,2.6648,0.20949751138687134,0.00044028,99.786,
MS CORP CD 61690U2L3,5.1,Sep09'24,,,Mar 09 '23,0.13,Semi-Annual,100.264,2.8255000000000003,0.13150684535503387,0.00017294,99.803,
MS CORP CD 61768EQA4,5.1,Sep09'24,,,Mar 09 '23,0.13,Semi-Annual,99.941,5.458,0.13150684535503387,0.00017294,99.803,
HMSTBK CORP CD 43785QSD6,5.4,Sep12'24,,,Dec 12 '23,0.14,Monthly,100.329,2.8636,0.13775475323200226,0.00019007,99.857,
BOBIN CORP CD 06063HQY2,5.3,Sep13'24,,,Jun 15 '23,0.14,Semi-Annual,99.994,5.313000000000001,0.1424657553434372,0.00020296,99.834,
COF CORP CD 14042RUC3,3.45,Sep16'24,,,Sep 15 '22,0.15,Semi-Annual,99.717,5.3180000000000005,0.6394493579864502,0.004130712244659662,99.612,
MS CORP CD 61768EQS5,5.25,Sep16'24,,,Mar 16 '23,0.15,Semi-Annual,100.271,3.2038,0.15068493783473969,0.00022706,99.820,
BBCNBK CORP CD 062683JE8,5.25,Sep16'24,,,Jun 14 '23,0.15,Semi-Annual,100.116,4.4353,0.15068493783473969,0.00022706,99.827,
BBUBNK CORP CD 05988ACY6,5.0,Sep16'24,,,Feb 14 '24,0.15,Monthly,99.955,5.304,0.22590404748916626,0.00051176,99.800,
BMW CORP CD 05580AD68,0.65,Sep17'24,,,Sep 17 '21,0.15,Semi-Annual,99.302,5.32,0.15342465043067932,0.00023539,99.196,
WFC CORP CD 949764AK0,5.25,Sep17'24,,,Mar 17 '23,0.15,Monthly,100.090,4.537,0.15146343410015106,0.00022971,99.837,
OZK CORP CD 06418CUP9,5.25,Sep17'24,NoMD,1.959082145289126,May 17 '24,0.15,Monthly,99.992,5.301,0.1514633446931839,0.00022971,99.837,
MS CORP CD 61768ELZ4,3.8,Sep23'24,,,Sep 22 '22,0.17,Semi-Annual,99.887,4.3643,0.6577879786491394,0.004372655414044857,99.585,
MS CORP CD 61690US27,3.8,Sep23'24,,,Sep 22 '22,0.17,Semi-Annual,99.740,5.306,0.6577829122543335,0.004372613038867712,99.585,
WFC CORP CD 949763Z82,3.75,Sep23'24,,,Sep 23 '22,0.17,Monthly,99.744,5.296,0.1658865064382553,0.00027626,99.590,
MS CORP CD 61768EQW6,5.25,Sep23'24,,,Mar 23 '23,0.17,Semi-Annual,100.319,3.1464000000000003,0.1698630154132843,0.00028853,99.819,
MS CORP CD 61690U3F5,5.25,Sep23'24,,,Mar 23 '23,0.17,Semi-Annual,99.975,5.1801,0.1698630154132843,0.00028853,99.819,
DFS CORP CD 2546733F1,5.05,Sep26'24,,,Mar 29 '23,0.18,Semi-Annual,100.255,3.6457,0.1780821979045868,0.00031713,99.793,
ADS CORP CD 20033A4W3,5.4,Sep26'24,,,Sep 27 '23,0.18,Monthly,100.020,5.284000000000001,0.17650678753852844,0.00031309,99.865,
DFS CORP CD 254673T55,3.8,Sep27'24,,,Sep 27 '22,0.18,Semi-Annual,99.854,4.4832,0.18082191050052643,0.00032697,99.578,
PARKBT CORP CD 70153RLD8,3.5,Sep27'24,,,Sep 27 '22,0.18,Semi-Annual,99.672,5.304,0.18082191050052643,0.00032697,99.526,
SONHBT CORP CD 06426KCX4,5.45,Sep27'24,,,Sep 28 '23,0.18,Monthly,100.026,5.3,0.1792362928390503,0.00032281,99.875,
MS CORP CD 61690US50,4.1,Sep30'24,,,Sep 29 '22,0.19,Semi-Annual,99.886,4.6008000000000004,0.6762460470199585,0.004622352309525013,99.608,
WFC CORP CD 9497632E5,4.15,Sep30'24,,,Sep 30 '22,0.19,Monthly,99.791,5.281000000000001,0.1849822998046875,0.00034338,99.637,
AXP CORP CD 02589ADY5,4.2,Sep30'24,,,Sep 28 '22,0.19,Semi-Annual,99.785,5.299,0.6732631921768188,0.004583264701068401,99.635,
BMO CORP CD 05600XJN1,4.25,Sep30'24,,,Sep 30 '22,0.19,Semi-Annual,99.794,5.298,0.18904109299182892,0.00035737,99.635,
CMA CORP CD 200339FB0,5.25,Sep30'24,NoMD,NoMD,Mar 30 '23,0.19,Semi-Annual,99.976,5.293,NoMD,NoMD,99.827,
MS CORP CD 61690U3P3,5.0,Sep30'24,,,Mar 30 '23,0.19,Semi-Annual,99.930,5.297000000000001,0.18904109299182892,0.00035737,99.772,
MS CORP CD 61768ERG0,5.0,Sep30'24,,,Mar 30 '23,0.19,Semi-Annual,99.930,5.297000000000001,0.18904109299182892,0.00035737,99.772,
FIRELD CORP CD 32021MGE3,5.2,Sep30'24,,,Mar 28 '24,0.19,Monthly,99.985,5.28,0.26154622435569763,0.00068821,99.838,
FINN CORP CD 332135KT8,5.1,Oct01'24,NoMD,NoMD,Mar 31 '23,0.19,Semi-Annual,NoMD,NoMD,NoMD,NoMD,NoMD,
COULEE CORP CD 22209WAD4,5.3,Oct02'24,,,Jun 02 '23,0.19,Semi-Annual,100.318,3.6032,0.19452054798603058,0.00037838,99.837,
DFS CORP CD 2546733N4,4.85,Oct03'24,,,Apr 05 '23,0.20,Semi-Annual,100.065,4.548900000000001,0.1972602754831314,0.00038912,99.751,
BK CORP CD 06405VFK0,4.5,Oct04'24,,,Apr 04 '23,0.20,Semi-Annual,100.103,3.8894,0.20000000298023224,0.0004,99.683,
MS CORP CD 61690US92,4.35,Oct07'24,,,Oct 06 '22,0.21,Semi-Annual,100.087,3.8672,0.694833517074585,0.00488003296777606,99.637,
MS CORP CD 61768EME0,4.35,Oct07'24,,,Oct 06 '22,0.21,Semi-Annual,99.787,5.332,0.6948224306106567,0.004879931453615427,99.637,
SYF CORP CD 87164YS88,4.3,Oct07'24,,,Oct 07 '22,0.21,Semi-Annual,100.089,3.7867,0.20821918547153473,0.00043355,99.637,
MS CORP CD 61690U3W8,5.0,Oct07'24,,,Apr 06 '23,0.21,Semi-Annual,99.926,5.287,0.6932803392410278,0.0048658838495612144,99.768,
SYF CORP CD 87165HE71,0.65,Oct08'24,,,Oct 08 '21,0.21,Semi-Annual,99.043,5.299,0.21095889806747437,0.00044504,98.891,
BMW CORP CD 05580AE67,0.65,Oct08'24,,,Oct 08 '21,0.21,Semi-Annual,99.090,5.0525,0.21095889806747437,0.00044504,98.884,
SYF CORP CD 87164WEA2,3.1,Oct10'24,,,Oct 10 '14,0.22,Semi-Annual,99.529,5.288,0.21643835306167603,0.00046846,99.379,
DFS CORP CD 254673U95,4.35,Oct10'24,,,Oct 11 '22,0.22,Semi-Annual,99.944,4.5857,0.21643835306167603,0.00046846,99.641,
MS CORP CD 61768EMK6,4.3,Oct15'24,,,Oct 13 '22,0.23,Semi-Annual,99.767,5.2780000000000005,0.7141199111938477,0.005151249933987856,99.608,
MS CORP CD 61690UT34,4.3,Oct15'24,,,Oct 13 '22,0.23,Semi-Annual,100.059,3.9881,0.7141303420066833,0.0051513491198420525,99.608,
WFC CORP CD 9497632R6,4.35,Oct15'24,,,Oct 14 '22,0.23,Monthly,99.796,5.255,0.3084694445133209,0.00095501,99.644,
MS CORP CD 61690U4F4,4.8,Oct15'24,,,Apr 13 '23,0.23,Semi-Annual,99.877,5.28,0.7129321694374084,0.005139974877238274,99.719,
PNFP CORP CD 72345SLH2,4.75,Oct15'24,,,Apr 14 '23,0.23,Monthly,99.886,5.255,0.3083057105541229,0.00095432,99.734,
VLY CORP CD 919853KD2,5.4,Oct15'24,,,Sep 15 '23,0.23,Semi-Annual,100.014,5.273000000000001,0.6348013281822205,0.0040937187150120735,99.864,
MOCIBK CORP CD 619165JX2,4.7,Oct15'24,NoMD,NoMD,Jan 12 '24,0.23,Monthly,NoMD,NoMD,NoMD,NoMD,NoMD,
OZK CORP CD 06418CVS2,5.3,Oct15'24,NoMD,1.959082145289126,Jun 14 '24,0.23,Monthly,100.010,5.2540000000000004,0.30807849764823914,0.00095335,99.464,
WFC CORP CD 949763L95,2.05,Oct17'24,,,Oct 17 '19,0.24,Monthly,99.260,5.2620000000000005,0.23473167419433594,0.00055158,99.110,
HABAMB CORP CD 40449HAA5,4.2,Oct17'24,,,Oct 17 '22,0.24,Semi-Annual,99.740,5.274,0.23561644554138184,0.00055515,99.592,
WFC CORP CD 949763M78,1.95,Oct18'24,,,Oct 18 '19,0.24,Monthly,99.251,5.1376,0.23749221861362457,0.00056459,99.079,
MS CORP CD 61768EML4,4.4,Oct21'24,,,Oct 20 '22,0.25,Semi-Annual,99.777,5.269,0.7330601811408997,0.005426488351076841,99.618,
MS CORP CD 61690UT83,4.4,Oct21'24,,,Oct 20 '22,0.25,Semi-Annual,99.763,5.324,0.7330597043037415,0.005426483694463968,99.618,
FCNCA CORP CD 319477AL9,4.5,Oct21'24,,,Oct 21 '22,0.25,Semi-Annual,99.800,5.272,0.24657534062862396,0.00060799,99.654,
WFC CORP CD 9497632V7,4.5,Oct21'24,,,Oct 21 '22,0.25,Monthly,99.804,5.309,0.24518460035324097,0.00060244,99.668,
WFC CORP CD 949764AZ7,4.8,Oct21'24,,,Apr 19 '23,0.25,Monthly,100.006,4.7342,0.3219846785068512,0.0010405711364001036,99.741,
ITRUBK CORP CD 46124GBA5,4.9,Oct21'24,,,Apr 19 '23,0.25,Semi-Annual,99.896,5.267,0.7291350364685059,0.005374752916395664,99.749,
ITRUBK CORP CD 46124GBB3,4.95,Oct21'24,,,Apr 21 '23,0.25,Semi-Annual,100.176,4.1403,0.24657534062862396,0.00060799,99.761,
SYF CORP CD 87165HF70,0.7,Oct22'24,,,Oct 22 '21,0.25,Semi-Annual,99.122,4.2869,0.2493150681257248,0.00062158,98.735,
BMW CORP CD 05580AF41,0.7,Oct22'24,,,Oct 22 '21,0.25,Semi-Annual,99.125,4.274500000000001,0.2493150681257248,0.00062158,98.728,
WFC CORP CD 949764BG8,4.8,Oct25'24,,,Apr 25 '23,0.26,Monthly,100.139,4.2332,0.2534918487071991,0.00064641,99.737,
CM CORP CD 12547CBE7,4.85,Oct25'24,,,Apr 27 '23,0.26,Semi-Annual,100.001,4.8673,0.2575342357158661,0.00066324,99.734,
GS CORP CD 38149M5M1,2.5,Oct28'24,,,Apr 27 '22,0.27,Semi-Annual,99.509,4.3719,0.7568191885948181,0.005758341867476702,99.127,
IDBNY CORP CD 465076UB1,4.4,Oct28'24,,,Oct 26 '22,0.27,Semi-Annual,99.762,5.261,0.7494991421699524,0.0056702024303376675,99.616,
SALLMA CORP CD 795451CE1,4.55,Oct28'24,,,Oct 26 '22,0.27,Semi-Annual,100.063,4.260400000000001,0.7491519451141357,0.005666659213602543,99.647,
NCBKPA CORP CD 23204HLM8,4.6,Oct28'24,,,Oct 26 '22,0.27,Semi-Annual,99.814,5.261,0.7490227222442627,0.005665340926498175,99.628,
WFC CORP CD 9497633C8,4.6,Oct28'24,,,Oct 28 '22,0.27,Monthly,99.834,5.236000000000001,0.26179084181785583,0.00068902,99.682,
BMW CORP CD 05580AN42,2.7,Oct29'24,,,Apr 29 '22,0.27,Semi-Annual,99.577,4.2687,0.2684931457042694,0.00072089,99.165,
MS CORP CD 61690UMT4,1.95,Oct31'24,,,Oct 31 '19,0.27,Semi-Annual,99.109,5.258,0.27397260069847107,0.00075061,98.956,
SALLMA CORP CD 795451CG6,4.65,Nov04'24,,,Nov 02 '22,0.28,Semi-Annual,100.064,4.3293,0.768093466758728,0.005955178756266832,99.665,
AXP CORP CD 02589AEA6,4.65,Nov04'24,,,Nov 02 '22,0.28,Semi-Annual,100.068,4.315,0.7680938839912415,0.005955183412879705,99.673,
MS CORP CD 61768EMV2,4.7,Nov04'24,,,Nov 03 '22,0.28,Semi-Annual,100.085,4.3024000000000004,0.7707151174545288,0.005996083840727806,99.673,
MS CORP CD 61690UU73,4.7,Nov04'24,,,Nov 03 '22,0.28,Semi-Annual,99.869,5.078,0.7707073092460632,0.005996000953018665,99.673,
FFIC CORP CD 34387AFC8,4.65,Nov04'24,,,Nov 04 '22,0.28,Monthly,99.838,5.228000000000001,0.31108608841896057,0.00097146,99.688,
SYF CORP CD 87165EYH4,4.65,Nov04'24,,,Nov 04 '22,0.28,Semi-Annual,99.816,5.257000000000001,0.2849315106868744,0.00081186,99.673,
WFC CORP CD 949764BN3,4.9,Nov04'24,,,May 02 '23,0.28,Monthly,100.154,4.2859,0.3573548197746277,0.001285361940972507,99.756,
MS CORP CD 61768ETA1,4.9,Nov04'24,,,May 03 '23,0.28,Semi-Annual,100.131,4.3326,0.7702422142028809,0.005991050973534584,99.728,
CMA CORP CD 200339FS3,4.95,Nov04'24,,,May 04 '23,0.28,Semi-Annual,99.905,5.235,0.2849315106868744,0.00081186,99.755,
HBAN CORP CD 446438SC8,4.8,Nov05'24,,,May 05 '23,0.29,Semi-Annual,99.900,5.102,0.2876712381839752,0.00082755,99.714,
WFC CORP CD 949764BT0,5.0,Nov05'24,,,May 05 '23,0.29,Monthly,99.933,5.236000000000001,0.28354570269584656,0.00080797,99.783,
MS CORP CD 61690UNB2,1.95,Nov07'24,,,Nov 07 '19,0.29,Semi-Annual,99.030,5.2918,0.2931506931781769,0.00085937,98.896,
DFS CORP CD 2546734N3,4.95,Nov07'24,,,May 10 '23,0.29,Semi-Annual,100.024,4.8865,0.2931506931781769,0.00085937,99.754,
HBNC CORP CD 44042WCG0,4.75,Nov08'24,,,Nov 08 '22,0.30,Monthly,99.861,5.229,0.29186686873435974,0.00085566,99.711,
SYF CORP CD 87165HH52,0.75,Nov12'24,,,Nov 12 '21,0.31,Semi-Annual,98.650,5.252000000000001,0.30684930086135864,0.00094157,98.515,
COF CORP CD 14042RVJ7,4.85,Nov12'24,,,Nov 09 '22,0.31,Semi-Annual,99.819,5.366700000000001,0.7867887020111084,0.006248169578611851,99.714,
AXP CORP CD 02589AEC2,4.85,Nov12'24,,,Nov 09 '22,0.31,Semi-Annual,100.114,4.382000000000001,0.7867997884750366,0.006248291116207838,99.723,
WFC CORP CD 949764CD4,5.0,Nov12'24,,,May 09 '23,0.31,Monthly,99.933,5.221,0.37646251916885376,0.0014257498551160097,99.781,
BMO CORP CD 05610LDT8,5.4,Nov12'24,,,Nov 10 '23,0.31,Semi-Annual,100.028,5.248,0.7882359027862549,0.006277103442698717,99.870,
WFC CORP CD 9497633R5,4.9,Nov14'24,,,Nov 14 '22,0.31,Monthly,99.900,5.226,0.30824416875839233,0.00095405,99.750,
OZK CORP CD 06418CNM4,5.4,Nov14'24,,1.959082145289126,Nov 14 '23,0.31,Monthly,100.055,5.219,0.3080407381057739,0.00095319,99.902,
CBCR CORP CD 31944MDV4,5.4,Nov14'24,NoMD,NoMD,Jun 14 '24,0.31,Monthly,NoMD,NoMD,NoMD,NoMD,NoMD,
DFS CORP CD 254673Z58,4.9,Nov15'24,,,Nov 15 '22,0.31,Semi-Annual,99.878,5.248,0.31506848335266113,0.00099268,99.736,
BOBIN CORP CD 06063HQL0,5.05,Nov15'24,,,May 15 '23,0.31,Semi-Annual,99.923,5.25,0.31506848335266113,0.00099268,99.782,
SOV CORP CD 80280JWP2,5.4,Nov15'24,,,Nov 17 '23,0.31,Principal at Maturity,99.987,5.248,0.31506848335266113,0.00099268,99.845,
BACR CORP CD 06740KRG4,4.9,Nov18'24,,,Nov 16 '22,0.32,Semi-Annual,99.906,5.1134,0.8058525919914246,0.006552332546561956,99.726,
AXP CORP CD 02589AEE8,4.9,Nov18'24,,,Nov 16 '22,0.32,Semi-Annual,99.876,5.245,0.8058518171310425,0.006552324164658785,99.735,
SALLMA CORP CD 795451CK7,4.95,Nov18'24,,,Nov 18 '22,0.32,Semi-Annual,100.136,4.4161,0.3232876658439636,0.0010451491689309478,99.741,
MS CORP CD 61690U6C9,5.05,Nov18'24,,,May 17 '23,0.32,Semi-Annual,99.922,5.248,0.808237612247467,0.006592516787350178,99.766,
WFC CORP CD 949764CN2,5.05,Nov18'24,,,May 16 '23,0.32,Monthly,99.948,5.213,0.39560702443122864,0.0015736405039206147,99.795,
ISVNBP CORP CD 45780PBY0,5.45,Nov20'24,,,Nov 20 '23,0.33,Monthly,100.076,5.214,0.32445892691612244,0.0010570714948698878,99.922,
MERIND CORP CD 588493RK4,5.3,Nov20'24,,,May 21 '24,0.33,Principal at Maturity,99.968,5.3500000000000005,0.3287671208381653,0.0010808781953528523,99.861,
DFS CORP CD 2546735B8,5.0,Nov21'24,,,May 24 '23,0.33,Semi-Annual,99.916,5.2170000000000005,0.3315068483352661,0.001098967855796218,99.766,
BMO CORP CD 05610LDV3,5.3,Nov22'24,,,Nov 22 '23,0.33,Semi-Annual,100.003,5.243,0.33424657583236694,0.0011172076920047402,99.846,
UBS CORP CD 90348J7G9,4.8,Nov25'24,,,Nov 23 '22,0.34,Monthly,99.863,5.208,0.41170573234558105,0.0017099571414291859,99.701,
IDBNY CORP CD 465076UD7,4.85,Nov25'24,,,Nov 25 '22,0.34,Semi-Annual,99.886,5.15,0.34246575832366943,0.0011728279059752822,99.716,
BMW CORP CD 05580AT20,4.8,Nov25'24,,,Nov 25 '22,0.34,Semi-Annual,99.839,5.2410000000000005,0.34246575832366943,0.0011728279059752822,99.689,
WFC CORP CD 949764CV4,5.05,Nov25'24,,,May 23 '23,0.34,Monthly,99.947,5.208,0.4114532172679901,0.0017086262814700603,99.794,
MS CORP CD 61690U6M7,5.05,Nov25'24,,,May 24 '23,0.34,Semi-Annual,99.950,5.156000000000001,0.8274179697036743,0.006906230468302965,99.765,
CM CORP CD 12547CBK3,5.1,Nov25'24,,,May 25 '23,0.34,Semi-Annual,99.938,5.242,0.34246575832366943,0.0011728279059752822,99.798,
WFC CORP CD 9497633X2,4.85,Nov29'24,,,Nov 28 '22,0.35,Monthly,99.875,5.211,0.42535415291786194,0.0018243513768538833,99.725,
PACW CORP CD 69506YZU6,5.25,Nov29'24,,,May 31 '23,0.35,Semi-Annual,99.989,5.24,0.35342466831207275,0.0012490898370742798,99.833,
DFS CORP CD 2546735L6,5.05,Nov29'24,,,Jun 01 '23,0.35,Semi-Annual,100.168,4.5888,0.35342466831207275,0.0012490898370742798,99.782,
CRORVR CORP CD 227563EL3,5.4,Nov29'24,,,Nov 30 '23,0.35,Monthly,100.068,5.203,0.3487950265407562,0.0012257465859875083,99.914,
HMSTBK CORP CD 43785QSN4,5.35,Nov29'24,,,May 30 '24,0.35,Monthly,100.051,5.202,0.34882867336273193,0.0012258996721357107,99.896,
GMATBK CORP CD 02007GSE4,2.95,Dec02'24,,,Jun 02 '22,0.36,Semi-Annual,99.196,5.216,0.36164382100105286,0.001307862694375217,99.046,
TOYFBN CORP CD 89235MPL9,4.9,Dec02'24,,,Nov 30 '22,0.36,Semi-Annual,99.868,5.237,0.8442102074623108,0.007185250520706177,99.730,
DFS CORP CD 2546732A3,4.8,Dec02'24,,,Nov 30 '22,0.36,Semi-Annual,99.845,5.204000000000001,0.8444464802742004,0.007188115268945694,99.695,
UBS CORP CD 90348J7K0,4.9,Dec02'24,,,Dec 02 '22,0.36,Monthly,100.132,4.4934,0.3573542535305023,0.0012853594962507486,99.729,
FHN CORP CD 337158BB4,5.15,Dec02'24,,,May 31 '23,0.36,Semi-Annual,99.967,5.205,0.8436223864555359,0.007178124040365219,99.817,
WFC CORP CD 9497634C7,4.85,Dec05'24,,,Dec 05 '22,0.37,Monthly,99.871,5.205,0.3656046390533447,0.0013449310790747404,99.721,
FBKCHI CORP CD 319141JT5,2.65,Dec06'24,,,Dec 06 '17,0.37,Semi-Annual,99.056,5.2330000000000005,0.3726027309894562,0.0013883280334994197,98.916,
WFC CORP CD 9497634E3,4.85,Dec06'24,,,Dec 05 '22,0.37,Monthly,99.873,5.196000000000001,0.44727253913879395,0.0020156153477728367,99.720,
MTB CORP CD 564759RJ9,4.9,Dec09'24,,,Dec 07 '22,0.38,Semi-Annual,99.841,5.297000000000001,0.8633867502212524,0.007512716110795736,99.691,
MS CORP CD 61768EUS0,5.15,Dec09'24,,,Jun 07 '23,0.38,Semi-Annual,99.957,5.231,0.862800121307373,0.007505379151552916,99.802,
OZK CORP CD 06418CWK8,5.2,Dec09'24,,1.959082145289126,Jul 09 '24,0.38,Monthly,100.117,4.885000000000001,0.37632235884666443,0.001425037276931107,99.306,
FNBETX CORP CD 32117YAC2,5.15,Dec13'24,,,Jun 13 '23,0.39,Semi-Annual,99.990,5.146,0.391780823469162,0.0015349221648648381,99.822,
BOBIN CORP CD 06063HQX4,5.2,Dec13'24,,,Jun 15 '23,0.39,Semi-Annual,99.978,5.229,0.391780823469162,0.0015349221648648381,99.841,
SALLMA CORP CD 795451BA0,1.0,Dec16'24,,,Dec 15 '21,0.40,Semi-Annual,98.364,5.2090000000000005,0.8947525024414062,0.008018296211957932,98.203,
WFC CORP CD 9497634M5,4.75,Dec16'24,,,Dec 14 '22,0.40,Monthly,99.829,5.1850000000000005,0.47203174233436584,0.0022429260425269604,99.676,
WFC CORP CD 9497634N3,4.75,Dec16'24,,,Dec 14 '22,0.40,Semi-Annual,99.819,5.19,0.8829222321510315,0.007852163165807724,99.669,
MTB CORP CD 564759RL4,4.7,Dec16'24,,,Dec 15 '22,0.40,Semi-Annual,99.760,5.292,0.8857777118682861,0.007902116514742374,99.610,
CRORVR CORP CD 227563CS0,5.25,Dec16'24,,,Jun 14 '23,0.40,Semi-Annual,99.998,5.2250000000000005,0.8817457556724548,0.00783699844032526,99.863,
SNV CORP CD 87164DWK2,5.2,Dec16'24,,,Jun 15 '23,0.40,Semi-Annual,99.993,5.189,0.8846033811569214,0.007886913605034351,99.843,
FHN CORP CD 337158BP3,5.2,Dec16'24,,,Jun 15 '23,0.40,Semi-Annual,100.209,4.6324000000000005,0.8846108913421631,0.007887011393904686,99.843,
OZK CORP CD 06418CVT0,5.25,Dec16'24,NoMD,1.959082145289126,Jun 14 '24,0.40,Monthly,100.233,4.623,0.4715253710746765,0.0022396473214030266,99.568,
OZK CORP CD 06418CUM6,5.2,Dec17'24,,1.959082145289126,May 17 '24,0.40,Monthly,100.214,4.6256,0.39824792742729187,0.0015948450891301036,99.852,
MYFW CORP CD 337504AY0,5.2,Dec19'24,,,Dec 20 '23,0.41,Monthly,100.007,5.182,0.40646490454673767,0.0016609742306172848,99.853,
DFS CORP CD 2546735W2,5.1,Dec20'24,,,Jun 22 '23,0.41,Semi-Annual,99.956,5.187,0.4109589159488678,0.001688872231170535,99.806,
FCZA CORP CD 17886TAS8,5.0,Dec20'24,,,Dec 21 '23,0.41,Monthly,100.134,4.670100000000001,0.4093417227268219,0.0016841092146933079,99.773,
